Time,Theta_Analytical,Theta,Omega,Theta_Errors,Omega_Errors,Energy
1.970000,0.449460,0.449460,-0.071405,0.000000,0.000000,1.028461
1.980000,0.448510,0.448510,-0.118563,0.000000,0.000000,1.028461
1.990000,0.447090,0.447090,-0.165580,0.000000,0.000000,1.028461
2.000000,0.445199,0.445199,-0.212400,0.000000,0.000000,1.028461
2.010000,0.442842,0.442842,-0.258969,0.000000,0.000000,1.028461
2.020000,0.440021,0.440021,-0.305231,0.000000,0.000000,1.028461
2.030000,0.436739,0.436739,-0.351134,0.000000,0.000000,1.028461
2.040000,0.433000,0.433000,-0.396623,0.000000,0.000000,1.028461
2.050000,0.428808,0.428808,-0.441646,0.000000,0.000000,1.028461
2.060000,0.424169,0.424169,-0.486152,0.000000,0.000000,1.028461
2.070000,0.419087,0.419087,-0.530092,0.000000,0.000000,1.028461
2.080000,0.413569,0.413569,-0.573416,0.000000,0.000000,1.028461
2.090000,0.407621,0.407621,-0.616076,0.000000,0.000000,1.028461
2.100000,0.401250,0.401250,-0.658026,0.000000,0.000000,1.028461
2.110000,0.394463,0.394463,-0.699223,0.000000,0.000000,1.028461
2.120000,0.387268,0.387268,-0.739621,0.000000,0.000000,1.028461
2.130000,0.379673,0.379673,-0.779179,0.000000,0.000000,1.028461
2.140000,0.371687,0.371687,-0.817858,0.000000,0.000000,1.028461
2.150000,0.363319,0.363319,-0.855618,0.000000,0.000000,1.028461
2.160000,0.354578,0.354578,-0.892422,0.000000,0.000000,1.028461
2.170000,0.345474,0.345474,-0.928236,0.000000,0.000000,1.028461
2.180000,0.336017,0.336017,-0.963025,0.000000,0.000000,1.028461
2.190000,0.326217,0.326217,-0.996757,0.000000,0.000000,1.028461
2.200000,0.316085,0.316085,-1.029403,0.000000,0.000000,1.028461
2.210000,0.305633,0.305633,-1.060932,0.000000,0.000000,1.028461
2.220000,0.294870,0.294870,-1.091320,0.000000,0.000000,1.028461
2.230000,0.283810,0.283810,-1.120538,0.000000,0.000000,1.028461
2.240000,0.272464,0.272464,-1.148565,0.000000,0.000000,1.028461
2.250000,0.260843,0.260843,-1.175378,0.000000,0.000000,1.028461
2.260000,0.248960,0.248960,-1.200955,0.000000,0.000000,1.028461
2.270000,0.236828,0.236828,-1.225277,0.000000,0.000000,1.028461
2.280000,0.224459,0.224459,-1.248327,0.000000,0.000000,1.028461
2.290000,0.211866,0.211866,-1.270087,0.000000,0.000000,1.028461
2.300000,0.199062,0.199062,-1.290543,0.000000,0.000000,1.028461
2.310000,0.186059,0.186059,-1.309680,0.000000,0.000000,1.028461
2.320000,0.172872,0.172872,-1.327486,0.000000,0.000000,1.028461
2.330000,0.159514,0.159514,-1.343949,0.000000,0.000000,1.028461
2.340000,0.145998,0.145998,-1.359058,0.000000,0.000000,1.028461
2.350000,0.132337,0.132337,-1.372804,0.000000,0.000000,1.028461
